Author,Quote,Tags
Byron Pulsifer,Patience is a virtue but you will never ever accomplish anything if you don't exercise action over patience.,
Robert Lynd,"Any of us can achieve virtue, if by virtue we merely mean the avoidance of the vices that do not attract us.",
Ralph Emerson,"If the single man plant himself indomitably on his instincts, and there abide, the huge world will come round to him.",
Donald Trump,"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.",
Eleanor Roosevelt,Friendship with oneself is all important because without it one cannot be friends with anybody else in the world.,
Robert Fulghum,"Peace is not something you wish for. It's something you make, something you do, something you are, and something you give away.",
Bruce Lee,A wise man can learn more from a foolish question than a fool can learn from a wise answer.,
Arthur Schopenhauer,Every man takes the limits of his own field of vision for the limits of the world.,
Andre Gide,One does not discover new lands without consenting to lose sight of the shore for a very long time.,
Sai Baba,What is new in the world? Nothing. What is old in the world? Nothing. Everything has always been and will always be.,
Dalai Lama,"Genuine love should first be directed at oneself. if we do not love ourselves, how can we love others?",
Tom Lehrer,Life is like a sewer. What you get out of it depends on what you put into it.,
Bruce Lee,"Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind.",
Alfred Sheinwold,Learn all you can from the mistakes of others. You won't have time to make them all yourself.,
Sri Chinmoy,"Judge nothing, you will be happy. Forgive everything, you will be happier. Love everything, you will be happiest.",
Johann Wolfgang von Goethe,"People are so constituted that everybody would rather undertake what they see others do, whether they have an aptitude for it or not.",
James Freeman Clarke,We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life.,
Anais Nin,The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery.,
Marcus Aurelius,"Everything that happens happens as it should, and if you observe carefully, you will find this to be so.",
Wayne Dyer,"What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds.",
Buddha,"In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.",
Sydney Smith,"It is the greatest of all mistakes to do nothing because you can only do little, do what you can.",
Confucius,"When you see a man of worth, think of how you may emulate him. When you see one who is unworthy, examine yourself.",
Mary Kay Ash,"Aerodynamically the bumblebee shouldn't be able to fly, but the bumblebee doesn't know that so it goes on flying anyway.",
Lloyd Jones,Those who try to do something and fail are infinitely better than those who try nothing and succeed.,
Vista Kelly,"Snowflakes are one of natures most fragile things, but just look what they can do when they stick together.",
Ben Stein,The first step to getting the things you want out of life is this: decide what you want.,
,Why compare yourself with others? No one in the entire world can do a better job of being you than you.,
Aldous Huxley,Experience is not what happens to a man. It is what a man does with what happens to him.,
,"A good teacher is like a candle, it consumes itself to light the way for others.",
Oscar Wilde,The only thing to do with good advice is to pass it on. It is never of any use to oneself.,
,"Life is not measured by the breaths we take, but by the moments that take our breath.",
Honore de Balzac,"The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition.",
Jacob Braude,Consider how hard it is to change yourself and you'll understand what little chance you have in trying to change others.,
Vince Lombardi,"If you'll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives.",
Oliver Holmes,What lies behind us and what lies before us are small matters compared to what lies within us.,
Dalai Lama,"With the realization of ones own potential and self-confidence in ones ability, one can build a better world.",
Nelson Mandela,There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.,
Robert Anthony,Forget about all the reasons why something may not work. You only need to find one good reason why it will.,
Aristotle,It is the mark of an educated mind to be able to entertain a thought without accepting it.,
Washington Irving,"Love is never lost. If not reciprocated, it will flow back and soften and purify the heart.",
Anne Frank,We all live with the objective of being happy; our lives are all different and yet the same.,
Byron Pulsifer,Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.,
Thich Nhat Hanh,To be beautiful means to be yourself. You don't need to be accepted by others. You need to accept yourself.,
Buddha,"Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind.",
Jessamyn West,It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own.,
Plato,"Bodily exercise, when compulsory, does no harm to the body; but knowledge which is acquired under compulsion obtains no hold on the mind.",
Bruce Lee,"Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.",
Charlotte Gilman,"Let us revere, let us worship, but erect and open-eyed, the highest, not the lowest; the future, not the past!",
Mother Teresa,"Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing.",
Margaret Runbeck,Silences make the real conversations between friends. Not the saying but the never needing to say is what counts.,
Dalai Lama,The key to transforming our hearts and minds is to have an understanding of how our thoughts and emotions work.,
Johann Wolfgang von Goethe,"If you must tell me your opinions, tell me what you believe in. I have plenty of douts of my own.",
Ovid,"Chance is always powerful. Let your hook be always cast; in the pool where you least expect it, there will be a fish.",
Og Mandino,"I seek constantly to improve my manners and graces, for they are the sugar to which all are attracted.",
James Barrie,We never understand how little we need in this world until we know the loss of it.,
,The real measure of your wealth is how much youd be worth if you lost all your money.,
Buddha,To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,
Bruce Lee,Take no thought of who is right or wrong or who is better than. Be not for or against.,
Everett Dirksen,"I am a man of fixed and unbending principles, the first of which is to be flexible at all times.",
Byron Pulsifer,"Today, give a stranger a smile without waiting for it may be the joy they need to have a great day.",
Henry Miller,"The moment one gives close attention to anything, even a blade of grass, it becomes a mysterious, awesome, indescribably magnificent world in itself.",
Lao Tzu,At the center of your being you have the answer; you know who you are and you know what you want.,
Niels Bohr,How wonderful that we have met with a paradox. Now we have some hope of making progress.,
Georg Lichtenberg,Everyone is a genius at least once a year. A real genius has his original ideas closer together.,
Anais Nin,Dreams pass into the reality of action. From the actions stems the dream again; and this interdependence produces the highest form of living.,
Gloria Steinem,"Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.",
